Date,Open,High,Low,Close,Adj Close,Volume
2022-08-10,4162.500000,4237.500000,4150.000000,4237.500000,3887.098877,49372400
2022-08-11,4287.500000,4300.000000,4200.000000,4262.500000,3910.031494,54002400
2022-08-12,4212.500000,4275.000000,4200.000000,4262.500000,3910.031494,34264400
2022-08-15,4287.500000,4287.500000,4225.000000,4275.000000,3921.498047,43855800
2022-08-16,4262.500000,4287.500000,4237.500000,4287.500000,3932.964355,36326200
2022-08-18,4287.500000,4362.500000,4275.000000,4325.000000,3967.363525,51415600
2022-08-19,4325.000000,4337.500000,4250.000000,4250.000000,3898.565186,33229600
2022-08-22,4187.500000,4212.500000,4100.000000,4150.000000,3806.834229,80695200
2022-08-23,4150.000000,4200.000000,4137.500000,4150.000000,3806.834229,43109000
2022-08-24,4150.000000,4200.000000,4125.000000,4150.000000,3806.834229,31310600
2022-08-25,4175.000000,4187.500000,4125.000000,4137.500000,3795.367920,18239400
2022-08-26,4162.500000,4200.000000,4150.000000,4150.000000,3806.834229,27294200
2022-08-29,4100.000000,4150.000000,4062.500000,4100.000000,3760.968750,50521600
2022-08-30,4125.000000,4250.000000,4112.500000,4212.500000,3864.166016,64186600
2022-08-31,4200.000000,4262.500000,4150.000000,4262.500000,3910.031494,88222800
2022-09-01,4287.500000,4300.000000,4225.000000,4262.500000,3910.031494,24754600
2022-09-02,4275.000000,4375.000000,4262.500000,4350.000000,3990.296143,76147000
2022-09-05,4350.000000,4437.500000,4287.500000,4425.000000,4059.094482,40541000
2022-09-06,4425.000000,4450.000000,4350.000000,4375.000000,4013.229004,39143800
2022-09-07,4362.500000,4362.500000,4275.000000,4287.500000,3932.964355,45680600
2022-09-08,4312.500000,4400.000000,4300.000000,4387.500000,4024.695313,48818600
2022-09-09,4387.500000,4412.500000,4375.000000,4400.000000,4036.161621,66122800
2022-09-12,4450.000000,4450.000000,4387.500000,4400.000000,4036.161621,33164600
2022-09-13,4425.000000,4500.000000,4400.000000,4487.500000,4116.426270,65135200
2022-09-14,4425.000000,4475.000000,4387.500000,4450.000000,4082.027100,46548200
2022-09-15,4500.000000,4625.000000,4487.500000,4587.500000,4208.157227,154342800
2022-09-16,4550.000000,4587.500000,4437.500000,4475.000000,4104.959961,90832000
2022-09-19,4525.000000,4537.500000,4425.000000,4487.500000,4116.426270,63689800
2022-09-20,4487.500000,4500.000000,4450.000000,4487.500000,4116.426270,35548200
2022-09-21,4462.500000,4487.500000,4400.000000,4487.500000,4116.426270,33158800
2022-09-22,4487.500000,4512.500000,4437.500000,4500.000000,4127.892578,25991400
2022-09-23,4525.000000,4525.000000,4487.500000,4500.000000,4127.892578,47123200
2022-09-26,4437.500000,4500.000000,4375.000000,4500.000000,4127.892578,77318600
2022-09-27,4525.000000,4525.000000,4412.500000,4500.000000,4127.892578,42385400
2022-09-28,4500.000000,4550.000000,4450.000000,4500.000000,4127.892578,74439000
2022-09-29,4500.000000,4525.000000,4462.500000,4487.500000,4116.426270,24479200
2022-09-30,4475.000000,4525.000000,4400.000000,4487.500000,4116.426270,45655600
2022-10-03,4487.500000,4500.000000,4412.500000,4450.000000,4082.027100,28349400
2022-10-04,4462.500000,4500.000000,4425.000000,4425.000000,4059.094482,58380200
2022-10-05,4450.000000,4487.500000,4425.000000,4425.000000,4059.094482,64983000
2022-10-06,4450.000000,4475.000000,4400.000000,4450.000000,4082.027100,23969000
2022-10-07,4425.000000,4437.500000,4375.000000,4387.500000,4024.695313,36556000
2022-10-10,4350.000000,4387.500000,4325.000000,4375.000000,4013.229004,32778000
2022-10-11,4375.000000,4375.000000,4300.000000,4350.000000,3990.296143,56959000
2022-10-12,4337.500000,4387.500000,4300.000000,4325.000000,3967.363525,46026200
2022-10-13,4350.000000,4437.500000,4337.500000,4375.000000,4013.229004,60923600
2022-10-14,4412.500000,4425.000000,4212.500000,4212.500000,3864.166016,49869400
2022-10-17,4212.500000,4312.500000,4175.000000,4287.500000,3932.964355,46023600
2022-10-18,4287.500000,4350.000000,4287.500000,4337.500000,3978.829834,34089400
2022-10-19,4362.500000,4400.000000,4300.000000,4387.500000,4024.695313,26287200
2022-10-20,4350.000000,4537.500000,4350.000000,4500.000000,4127.892578,74454000
2022-10-21,4500.000000,4587.500000,4487.500000,4500.000000,4127.892578,67147400
2022-10-24,4512.500000,4712.500000,4512.500000,4675.000000,4288.421875,93991000
2022-10-25,4775.000000,4837.500000,4712.500000,4712.500000,4322.820801,79026600
2022-10-26,4750.000000,4750.000000,4612.500000,4612.500000,4231.089844,57301400
2022-10-27,4625.000000,4737.500000,4612.500000,4675.000000,4288.421875,32568200
2022-10-28,4675.000000,4687.500000,4562.500000,4662.500000,4276.955566,67024200
2022-10-31,4700.000000,4737.500000,4675.000000,4700.000000,4311.354492,57043600
2022-11-01,4700.000000,4750.000000,4625.000000,4700.000000,4311.354492,41443800
2022-11-02,4700.000000,4700.000000,4575.000000,4625.000000,4242.556152,49775000
2022-11-03,4625.000000,4700.000000,4587.500000,4650.000000,4265.488770,47748600
2022-11-04,4637.500000,4650.000000,4612.500000,4637.500000,4254.022461,33068200
2022-11-07,4637.500000,4675.000000,4612.500000,4637.500000,4254.022461,43164600
2022-11-08,4650.000000,4675.000000,4600.000000,4625.000000,4242.556152,34329200
2022-11-09,4650.000000,4675.000000,4625.000000,4650.000000,4265.488770,44354400
2022-11-10,4637.500000,4650.000000,4550.000000,4637.500000,4254.022461,35056000
2022-11-11,4712.500000,4737.500000,4637.500000,4650.000000,4265.488770,76578200
